City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
1,saint-philippe,RE,85.59,overcast clouds,-21.3585,55.7679,Le Baril
7,rikitea,PF,78.08,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
8,oranjestad,AW,76.95,few clouds,12.524,-70.027,Hotel California
9,bengkulu,ID,83.37,overcast clouds,-3.8004,102.2655,Dena Hotel
10,atuona,PF,77.72,overcast clouds,-9.8,-139.0333,Pearl Resort
13,salinopolis,BR,77.86,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
23,faanui,PF,79.54,moderate rain,-16.4833,-151.75,Oa Oa Lodge
26,gizo,SB,78.06,moderate rain,-8.103,156.8419,Gizo Hotel
36,cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Central Hôtel
42,vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
45,port hedland,AU,89.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
48,aden,YE,77.94,clear sky,12.7794,45.0367,فندق قصر الجزيرة
50,namatanai,PG,81.68,broken clouds,-3.6667,152.4333,Namatanai Hotel
55,singkawang,ID,83.12,overcast clouds,0.9,109.0,OYO 3098 Hotel Sahabat Baru
88,new norfolk,AU,87.89,clear sky,-42.7826,147.0587,Woodbridge on the Derwent
89,vao,NC,77.54,clear sky,-22.6667,167.4833,Nataiwatch
90,imbituba,BR,77.86,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
96,hobart,AU,88.23,few clouds,-42.8794,147.3294,Vibe Hotel Hobart
107,tete,MZ,85.39,overcast clouds,-16.1564,33.5867,Zambezi Hotel
110,hilo,US,79.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
115,bredasdorp,ZA,75.16,few clouds,-34.5322,20.0403,Victoria Hotel
117,pangai,TO,83.39,clear sky,-19.8,-174.35,Billy's Place
119,souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
122,port elizabeth,ZA,75.31,overcast clouds,-33.918,25.5701,Waterford Hotel
123,ambilobe,MG,87.53,overcast clouds,-13.2,49.05,Hôtel National
125,vila velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Prainha
127,sydney,AU,79.59,scattered clouds,-33.8679,151.2073,The Westin
129,mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Grand Bel Air
136,george town,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
138,kinshasa,CD,79.61,broken clouds,-4.3246,15.3215,Ariana
140,maun,BW,78.76,clear sky,-19.9833,23.4167,Center Lodge Conference Center
141,kapit,MY,81.34,overcast clouds,2.0167,112.9333,Haip
142,victoria,HK,80.2,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
144,the valley,AI,78.1,few clouds,18.217,-63.0578,CeBlue
173,uvira,CD,75.33,clear sky,-3.4067,29.1458,Batiment Kasangala
178,kavieng,PG,82.56,overcast clouds,-2.5744,150.7967,Kavieng Hotel
179,lang son,VN,83.37,clear sky,21.8333,106.7333,Nhà khách A1
181,nyaunglebin,MM,89.56,clear sky,17.95,96.7333,စန်းဋ္ဌေး
201,neiafu,TO,83.25,few clouds,-18.65,-173.9833,Port Wine Guest House
208,akyab,MM,78.71,clear sky,20.15,92.9,Yuzana Aung Motel 1
209,georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
219,padang,ID,86.05,overcast clouds,-0.9492,100.3543,losmen Surya
224,benguela,AO,77.45,overcast clouds,-12.5763,13.4055,Hotel Moibela
225,kismayo,SO,83.95,clear sky,-0.3582,42.5454,Kismayo Hotel
230,namibe,AO,76.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
235,tuy hoa,VN,84.16,broken clouds,13.0833,109.3,Vinh Tuan Hotel
249,meulaboh,ID,84.22,broken clouds,4.1363,96.1285,Hotel Meuligou
254,hithadhoo,MV,80.22,overcast clouds,-0.6,73.0833,Pebbles Inn
259,chatakonda,IN,89.8,clear sky,17.55,80.65,Hotel welcome
274,mtwara,TZ,85.33,scattered clouds,-10.2667,40.1833,Newala Guest House
278,tabou,CI,78.91,scattered clouds,4.423,-7.3528,hôtel le rochet
280,port-gentil,GA,82.36,light rain,-0.7193,8.7815,Tara-Mé
