City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,uzunovo,RU,54.5386,38.6173,24.39,92,100,12.82,overcast clouds
1,saint-philippe,RE,-21.3585,55.7679,85.59,72,100,10.67,overcast clouds
2,egvekinot,RU,66.3167,-179.1667,-10.53,85,11,15.97,few clouds
3,castro,BR,-24.7911,-50.0119,63.91,98,100,4.97,overcast clouds
4,yellowknife,CA,62.456,-114.3525,-8.45,77,100,11.5,light snow
5,adre,TD,13.4667,22.2,69.93,16,4,14.2,clear sky
6,half moon bay,US,37.4636,-122.4286,58.1,87,100,9.22,mist
7,rikitea,PF,-23.1203,-134.9692,78.08,73,0,15.97,clear sky
8,oranjestad,AW,12.524,-70.027,76.95,91,20,11.5,few clouds
9,bengkulu,ID,-3.8004,102.2655,83.37,67,99,7.47,overcast clouds
10,atuona,PF,-9.8,-139.0333,77.72,75,100,8.97,overcast clouds
11,korla,CN,41.7597,86.1469,15.8,81,100,9.51,overcast clouds
12,ushuaia,AR,-54.8,-68.3,40.66,81,75,8.05,light rain
13,salinopolis,BR,-0.6136,-47.3561,77.86,87,100,10.4,overcast clouds
14,qaanaaq,GL,77.484,-69.3632,2.43,70,99,6.42,overcast clouds
15,bluff,NZ,-46.6,168.3333,58.96,68,6,14.05,clear sky
16,kapaa,US,22.0752,-159.319,69.78,83,0,6.91,clear sky
17,voronovytsya,UA,49.1095,28.6808,27.77,95,100,4.76,overcast clouds
18,tuktoyaktuk,CA,69.4541,-133.0374,-1.39,97,100,9.8,light snow
19,high prairie,CA,55.4334,-116.4858,9.59,97,100,1.92,overcast clouds
20,iqaluit,CA,63.7506,-68.5145,-20.47,69,20,0.0,few clouds
21,cidreira,BR,-30.1811,-50.2056,69.71,92,80,11.59,broken clouds
22,ahipara,NZ,-35.1667,173.1667,63.43,90,100,3.47,overcast clouds
23,faanui,PF,-16.4833,-151.75,79.54,80,100,17.07,moderate rain
24,sitka,US,57.0531,-135.33,42.69,75,75,4.61,broken clouds
25,albany,US,42.6001,-73.9662,29.37,85,100,1.99,overcast clouds
26,gizo,SB,-8.103,156.8419,78.06,85,100,3.53,moderate rain
27,tera,NE,14.0078,0.7531,64.18,16,3,10.98,clear sky
28,makakilo city,US,21.3469,-158.0858,70.45,74,0,4.61,clear sky
29,san vicente,AR,-26.6167,-54.1333,61.23,100,81,0.2,broken clouds
30,marsh harbour,BS,26.5412,-77.0636,66.27,63,0,29.28,clear sky
31,nikolskoye,RU,59.7035,30.7861,33.8,98,100,10.27,light snow
32,rio grande,BR,-32.035,-52.0986,67.23,92,100,14.74,overcast clouds
33,busselton,AU,-33.65,115.3333,79.56,34,0,6.69,clear sky
34,kirensk,RU,57.7853,108.1119,2.34,86,100,8.86,overcast clouds
35,chokurdakh,RU,70.6333,147.9167,-29.2,96,100,5.7,overcast clouds
36,cayenne,GF,4.9333,-52.3333,77.04,83,100,6.91,overcast clouds
37,coquimbo,CL,-29.9533,-71.3436,62.33,88,100,5.75,overcast clouds
38,buala,SB,-8.145,159.5921,76.46,90,100,6.93,light rain
